Scenario 1
Vs. 24: 0.0
Vs. 25: 1.0
Vs. 26: 1.0
Vs. 27: 0.0
Vs. 28: 0.0
Vs. 29: 0.0
Vs. 30: 0.0
Vs. 31: 0.0
Vs. 32: 0.0
Vs. 33: 0.0
Vs. 34: 0.0
Vs. 35: 0.0
Vs. 36: 0.0
Vs. 37: 0.0
Vs. 38: 0.0
Vs. 39: 0.0
Vs. 40: 0.0
Vs. 41: 0.03
Vs. 42: 0.0
Vs. 43: 0.0
Vs. 44: 0.0
Vs. 45: 0.0
Vs. 46: 0.0
Vs. 47: 0.0
Vs. 48: 0.0
Vs. 49: 0.99
Vs. 50: 0.0
Vs. 51: 0.0
Vs. 52: 0.0
Vs. 53: 0.0
Vs. 54: 0.0
Vs. 55: 1.0
Vs. 56: 0.0
Vs. 57: 0.0
Vs. 58: 0.0
Vs. 59: 0.0
Vs. 60: 0.0
Vs. 61: 1.0
Vs. 62: 1.0
Vs. 63: 1.0
Vs. 64: 0.0
Vs. 65: 0.01
Vs. 66: 0.0
Vs. 67: 0.0
Vs. 68: 0.0
Vs. 69: 0.0
Vs. 70: 0.0
Vs. 71: 0.0
Vs. 72: 1.0
Vs. 73: 1.0
Vs. 74: 0.99
Vs. 75: 0.11
Vs. 76: 0.0
Vs. 77: 0.0
Vs. 78: 0.0
Vs. 79: 1.0
Vs. 80: 1.0
Vs. 81: 0.93
Vs. 82: 0.53
Vs. 83: 0.0
Vs. 84: 1.0
Vs. 85: 0.99
Vs. 86: 0.0
Vs. 87: 0.0
Vs. 88: 0.0
Vs. 89: 0.0
Vs. 90: 0.0
Vs. 91: 0.0
Vs. 92: 0.0
Vs. 93: 0.0
Vs. 94: 0.0
Vs. 95: 0.0
Vs. 96: 0.0
Vs. 97: 0.0
Vs. 98: 0.0
Vs. 99: 0.0
Vs. 100: 0.0
Vs. 101: 0.0
Vs. 102: 0.0
Vs. 103: 0.0
Vs. 104: 0.0
Vs. 105: 0.0
Vs. 106: 0.0
Vs. 107: 0.0
Vs. 108: 1.0
Vs. 109: 0.0
Vs. 110: 0.0
Vs. 111: 0.0
Vs. 112: 0.0
Vs. 113: 0.0
Vs. 114: 1.0
Vs. 115: 0.0
Vs. 116: 0.0
Vs. 117: 0.0
Vs. 118: 0.0
Vs. 119: 0.0
Vs. 120: 1.0
Vs. 121: 1.0
Vs. 122: 1.0
Vs. 123: 0.0
Vs. 124: 0.01
Vs. 125: 0.0
Vs. 126: 0.0
Vs. 127: 0.0
Vs. 128: 0.0
Vs. 129: 0.0
Vs. 130: 0.0
Vs. 131: 1.0
Vs. 132: 1.0
Vs. 133: 0.99
Vs. 134: 0.16
Vs. 135: 0.0
Vs. 136: 0.0
Vs. 137: 0.0
Vs. 138: 1.0
Vs. 139: 1.0
Vs. 140: 0.92
Vs. 141: 0.42
Vs. 142: 0.0
Vs. 143: 1.0
Vs. 144: 1.0
Vs. 145: 0.0
Vs. 146: 0.0
Vs. 147: 0.0
Vs. 148: 0.0
Vs. 149: 0.0
Vs. 150: 0.0
Vs. 151: 0.0
Vs. 152: 0.0
Vs. 153: 0.0
Vs. 154: 0.0
Vs. 155: 0.0
Vs. 156: 0.0
Vs. 157: 0.0
Vs. 158: 0.0
Vs. 159: 0.02
Vs. 160: 0.0
Vs. 161: 0.0
Vs. 162: 0.0
Vs. 163: 0.0
Vs. 164: 0.0
Vs. 165: 0.0
Vs. 166: 0.0
Vs. 167: 0.98
Vs. 168: 0.0
Vs. 169: 0.0
Vs. 170: 0.0
Vs. 171: 0.0
Vs. 172: 0.0
Vs. 173: 1.0
Vs. 174: 0.0
Vs. 175: 0.0
Vs. 176: 0.0
Vs. 177: 0.0
Scenario 6
Vs. 7: 0.08
Vs. 8: 0.0
Vs. 9: 0.0
Vs. 10: 0.0
Vs. 11: 0.0
Vs. 12: 0.0
Vs. 13: 1.0
Vs. 14: 1.0
Vs. 15: 0.99
Vs. 16: 0.27
Vs. 17: 0.0
Vs. 18: 0.0
Vs. 19: 0.0
Vs. 20: 1.0
Vs. 21: 1.0
Vs. 22: 1.0
Vs. 23: 0.67
Vs. 24: 0.0
Vs. 25: 1.0
Vs. 26: 1.0
Vs. 27: 0.0
Vs. 28: 0.0
Vs. 29: 0.0
Vs. 30: 0.0
Vs. 31: 0.0
Vs. 32: 0.0
Vs. 33: 0.0
Vs. 34: 0.0
Vs. 35: 0.0
Vs. 36: 0.0
Vs. 37: 0.0
Vs. 38: 0.0
Vs. 39: 0.0
Vs. 40: 0.0
Vs. 41: 0.02
Vs. 42: 0.0
Vs. 43: 0.0
Vs. 44: 0.0
Vs. 45: 0.0
Vs. 46: 0.0
Vs. 47: 0.0
Vs. 48: 0.0
Vs. 49: 0.99
Vs. 50: 0.0
Vs. 51: 0.0
Vs. 52: 0.0
Vs. 53: 0.0
Vs. 54: 0.0
Vs. 55: 1.0
Vs. 56: 0.0
Vs. 57: 0.0
Vs. 58: 0.0
Vs. 59: 0.0
Vs. 60: 0.0
Vs. 61: 1.0
Vs. 62: 1.0
Vs. 63: 1.0
Vs. 64: 0.96
Vs. 65: 0.0
Vs. 66: 0.08
Vs. 67: 0.0
Vs. 68: 0.0
Vs. 69: 0.0
Vs. 70: 0.0
Vs. 71: 0.0
Vs. 72: 1.0
Vs. 73: 1.0
Vs. 74: 1.0
Vs. 75: 0.35
Vs. 76: 0.0
Vs. 77: 0.0
Vs. 78: 0.0
Vs. 79: 1.0
Vs. 80: 1.0
Vs. 81: 0.99
Vs. 82: 0.69
Vs. 83: 0.0
Vs. 84: 1.0
Vs. 85: 1.0
Vs. 86: 0.02
Vs. 87: 0.0
Vs. 88: 0.0
Vs. 89: 0.0
Vs. 90: 0.0
Vs. 91: 0.0
Vs. 92: 0.0
Vs. 93: 0.0
Vs. 94: 0.0
Vs. 95: 0.0
Vs. 96: 0.0
Vs. 97: 0.0
Vs. 98: 0.0
Vs. 99: 0.0
Vs. 100: 0.02
Vs. 101: 0.0
Vs. 102: 0.0
Vs. 103: 0.0
Vs. 104: 0.0
Vs. 105: 0.0
Vs. 106: 0.0
Vs. 107: 0.0
Vs. 108: 1.0
Vs. 109: 0.0
Vs. 110: 0.0
Vs. 111: 0.0
Vs. 112: 0.0
Vs. 113: 0.0
Vs. 114: 1.0
Vs. 115: 0.0
Vs. 116: 0.0
Vs. 117: 0.0
Vs. 118: 0.0
Vs. 119: 0.0
Vs. 120: 1.0
Vs. 121: 1.0
Vs. 122: 1.0
Vs. 123: 0.98
Vs. 124: 0.0
Vs. 125: 0.11
Vs. 126: 0.0
Vs. 127: 0.0
Vs. 128: 0.0
Vs. 129: 0.0
Vs. 130: 0.0
Vs. 131: 1.0
Vs. 132: 1.0
Vs. 133: 0.99
Vs. 134: 0.22
Vs. 135: 0.0
